category,article,clusters
politics,it extraordinary story european commission find astrazenecas secret stockpile vaccines reserve britain during surprise raid weekend elite unit italian military police act eu order the discovery appear confirm eus longheld suspicion astrazeneca give uk special treatment secretly export dose home country fail deliver contract agree brussels yet eu officials allegation brief continental press simply was not true in fact dose discover italian factory destine eu itself remainder head poorer countries across world one former europe minister call possibly most embarrass day eus history italys la stampa newspaper report italian officer dose astrazeneca vaccine put vials label the raid carry nas elite unit carabinieri part arm force usually investigate criminal syndicate suspect counterfeit food wine medicine after inspect company record officer roughly half astrazenecas delivery shortfall eu eu source brief newspaper shipment think secretly bind uk despite company fall far short promise deliveries bloc italian authorities order raid thierry breton eus commissioner internal market raise suspicions visit astrazeneca factory leiden netherlands earlier month the commission issue alert mr breton suggest number provide astrazeneca executives add up suggest discrepancy report overall supply number dose report individual astrazeneca factories the raid come weeks italian government factory eus new export ban rule the explosive news hide bumper cache jab destine uk quickly pick newspapers across continent by midmorning however story begin unravel british government officials quickly insist supply catalent factory havent come uk expect anything there mario gargiulo president european biologics catalent say inspection carabinieri find everything order soon afterwards officials brussels admit 29 million dose fact destine astrazenecas plant belgium onward distribution around eu an italian government official say on saturday european commission ask prime minister verify several consignments vaccine production plant anagni the prime minister inform minister health roberto speranza arrange inspection carry saturday sunday carabinieri nas it emerge inspect batch destine belgium all outgo batch inspect astrazeneca later say 16 million dose wait quality control release dispatch europe 13 million go countries covax vaccinesharing scheme develop countries a spokesman say no export currently plan covax countries add incorrect describe stockpile the process manufacture vaccines complex timeconsuming in particular vaccine dose must wait quality control clearance fill vials complete spokesman say mr breton later tell bbc ask raid ensure everything track helpful understand happen italy but bruno maçães portugals former europe minister call possibly the embarrass day eu history so italian police raid vaccine factory suggestion commission find vaccines global initiative aim provide equitable access vaccines worlds poorest regions i think we are go need explanation italian military police burst vaccine factory false ground add however eu officials refuse give wednesday night reveal commission ask astrazeneca additional information active ingredient vaccine vials find italy manufacture brussels source indicate commission suspect drug substance send italian plant package could produce muchscrutinised halix plant netherlands so far plant deliver vaccine dose eu authorisation european medicine agency member state officials question approval process yet complete company insist on track on wednesday astrazeneca would say vaccine dose bring outside eu package italian plant other eu officials cast doubt dose report astrazeneca destine covax scheme eu exempt export ban one tell financial time suspicions shipments go covax countries redirect richer countries however valdis dombrovskis eus trade commissioner unequivocal say bloc would impose export restrictions covax plan distribute two billion dose poorer middle income countries end year,2
politics,european union leaders leave gun vaccine export ban negotiate table britain dont want pull trigger case shoot collective foot the head state government remain 27 member state hold video summit thursday night discuss stricter export control coronavirus vaccines slow vaccination rate huge shortfalls supply astrazeneca jab ursula von der leyen european commission president allow brussels stop export countries like uk higher vaccination rat eu low export it france spain italy want biggest stick wave britain possible germany belgium ireland netherlands worry trigger vaccine trade war britain export raw materials pfizer factory eu member belgium could risk eu block vaccine supply uk the european council divide agree explicitly support new rule summit conclusions this make little difference legally rule already enter force commission implement regulation it could quash eu member state next fortnight wont be it politically significant mrs von der leyen below think twice without support master council make clear put supply chain risk mark rutte netherlands say hop new rule would never use the gun table may full chamber still load astrazeneca brussels accuse break supply contract eu extension britain hook emmanuel macron angela merkel mrs von der leyen clear company honour contract european union export regions world and course case astrazeneca say mrs von der leyen add firm would catch up could export outside eu the commission already threaten block shipments oxford university jab uk astrazenecas halix plant netherlands it want boris johnson drop british first refusal jab manufacture two uk astrazeneca plant begin supply eu foresee brussels contract pharma giant brussels say matter fairness eubased factories export many vaccines uk ukeu negotiations underway continue come days the eus gun may quite large mrs von der leyen would like could still blow hole britains vaccination rollout the commission brief member state britain hugely dependent eu supply second phase vaccination programme since december pfizer send uk 20m dose a 1m come astrazeneca just 29m people first jab britain that suggest 8m jab uk make britain import suppliers outside eu mean enough fill continental size hole import the uk struggle vaccinate rest population ensure fully vaccinate without eu supply about 25m fully vaccinate second dose leave 26m people risk fully inoculate coronavirus frances foreign minister hold eus gun morning he say uks first dose policy many people jab quickly possible mean stockpile reserve second shots jeanyves le drian frances foreign minister say europe pay price policy the ukeu talk first since britain leave transition period directly concern brexit eu leaders make clear preference deal rather trade war unless uk secret second shoot stockpile stash away somewhere boris johnson may force find least embarrass way give eu want that likely agreement share supply halix factory possibly later date two britishbased factories well that compromise far simpler swallow people vaccinate supply come stream come months,2
politics,britain week tell european union must take account millions pound spend british taxpayers create astrazeneca vaccine remain talk break standoff jab resume early monday the european commission threaten britishswedish pharmaceutical company astrazeneca fall far short contract deliveries bloc ursula von der leyen commission president last week disclose factories eu send 21 million jab uk since december receive none return the ukeu negotiations focus define reciprocity mean whether would include finish vaccines ingredients whether deal would take account investment vaccine development british officials argue eu benefit 84 million fund manufacture astrazeneca jab develop scientists university oxford without cash uk say would vaccine all the uk push britains per capita investment part calculations single country rather 27 member state bloc proportionately invest individual eu nations accord governments recent spend review pay 6 billion total develop procure covid vaccines the uk also export raw materials pfizer vaccine plant belgium it plan significant increase research development almost 15 billion 202122 include fund clinical research support delivery new drug treatments vaccines maros sefcovic commission vicepresident tell the telegraph investment development would one factor take consideration evaluate reciprocity the commission see reciprocity base simple dosefordose formula least major manufacture hub jab one diplomat say surprise british demand say seem fair but source warn eu would also want german investment development pfizer jab take account and subtract european investment halix and advance purchase agreement eu production astrazeneca vaccines never come about diplomat say,2
politics,ever since last year debate rag extent experience change boris johnsons approach tackle pandemic his loyal aid always insist change ally privately concede emerge hospital stay different man that whole neardeath experience make look different lens say one after come hospital start talk could lose people covid lose second world war irrespective effect illness him mr johnsons almost certainly closest britain come lose prime minister office since margaret thatcher 1984 now first time closest centre power mr johnsons life hang balance speak moment fear might lose cabinet infighting absence prompt the prime minister take hospital while fight life another battle go heart government it become bite power struggle different minister say one wellplaced source we try keep team spirit together michael gove dom raab take chunk other it awful there lot talk dom try consolidate power michael try muscle various committees lot noise go on the pm final decisionmaker mean hospital go raab gove did not like all another senior source say there element gove hancock audition pm but raab excellent job he earn everyones respect stand in try pm others disagree we know gove like period categorically wasnt say one add admittedly i cant say peace harmonythere bite unease usual suspect cabinet colleagues conversations members little bite snippy a government source say claim total nonsense cabinet really rally together tension quad senior minister charge mr johnsons absence it even thursday march 26 mr johnson tell nation mild symptoms continue lead government selfisolating he work rishi sunaks office flat number 11 carrie symonds live recall one member team the people allow see face face martin reynolds principal private secretary lee cain director communications there study private office door between martin lee would go room speak open door ms symonds mr johnsons fiancee heavily pregnant but mandatory oneweek selfisolation period near end get worse better it obvious get ill say source close him he video message twitter take five six go get right normally onetake guy whenever people tell take easy keep say strong like bull strong like bull except wasnt one time say beat chest trigger uncontrollable cough fit mr johnson manage without senior adviser dominic cummings march 27 day prime minister test positive remain april 13 suffer covidlike symptoms by even friday april 3 staff concern mr johnson doctor call sunday follow call key staff tell go hospital at time down street say precautionary measure behind scenes different story there change him say one member team he was not fully engage conversations detach officials check want mr raab foreign secretary become incapacitate he confirm mr raab 100 per cent choice mr johnsons blood oxygen level fall dangerously low next day monday april 6 the doctor tell us look pretty grisly one source say nominally least prime minister remain charge country around 530pm day mr raab take turn host daily down street press conference phone desk sir mark sedwill cabinet secretary ring sir mark watch press conference deputy helen macnamara jam slack prime minister official spokesman mr reynolds answer call st thomass hospital it one two nick ring say senior source dr nick price prof nick hart charge mr johnsons care they say go move intensive care they say ghastly situation 5050 whether would need go onto ventilator go onto ventilator 5050 whether would survive in fact survival odds covid patients intubate even lower time another source say undoubtedly monday even lowest point go bed night scary time did not know go wake next day after phone call hospital things move incredibly quickly one insider recall after mr raab finish press conference call sir mark office tell go take over mr cain finish period selfisolation afternoon drive down street become the prime minister mouth absentia one official describe it the official say there fear pm could die everybody determine keep ship move on a cabinet call arrange everyone could update one person number 10 time say it surreal find hit us like freight train there were not many us down street day lot people work home was not much time process it we get job hand mr raab send onto airwaves reassure nation prime minister in safe hand at st thomass opposite parliament side thames mr johnson later say himself he recall interview last may the bloody indicators keep go wrong direction the doctor sort arrangements things go badly wrong they strategy deal death stalin type scenario i particularly brilliant shape i aware contingency plan place back down street staff avoid talk would happen mr johnson die they pretty tough days say one insider we try source ppe personal protective equiopment every morning meanwhile pm get lot oxygen scary him it was not thursday message hospital start get positive along mr raab mr gove chancellor duchy lancaster matt hancock health secretary rishi sunak chancellor minister forefront run country mr johnson remain hospital one source say balance save live save economy shift mr johnson sick the debate start pm hospital say source sedwill pro open up the two big political operators pm chancellor pm away officials gravitate towards big beast leave chancellor mr raab help down street mr reynolds mr cain mr slack isaac levido pollster previously work general election campaign draft private sector help crisis mr cain former tabloid journalist whose previous job famously include dress chicken costume taunt david cameron 2010 election campaign effectively stand mr johnson key meet tell mr raab prime minister think give subject lee cite paper send raab say one source he get every box go raab way would challenge things get pm lee raab he intermediary another source say lee basically run joint raab step lee much run number 10 operation he key meet raab pms righthand man room say pm would do i cannot recall anything raab disagree mr johnson discharge hospital april 12 week admit although one know time day mr cummings make test eyesight return london next day at chequer mr johnson soon resume work call with among others queen thenus president donald trump mr trump he sound incredible ready go like old boris tremendous energy tremendous drive mr cummings meanwhile become ever evangelical benefit lockdown he always favour lockdown argue earlier do say one former colleague while sick read load stuff pandemics come back tell everyone countries best ones lock early did not unlock soon he say countries lose fewer people take smaller hit economies mr johnson probably week early one aide admit tell nation real sign pass peak virus two days later son wilfred bear so effect prime minister darkest hour him i think change him say one friend prime minister he hesitant put country lockdown come hospital its protect live he start talk could lose people covid lose second world war he pretty determine go hospital pretty determine come out say one the one obvious change start talk lot fat country britain already lose people virus die blitz war cost 450000 british live total 094 per cent population include 383000 arm force to date covid take 125000 live around 02 per cent population those loyal mr johnson continue hold official line events last april make difference policies he pretty determine go hospital pretty determine come out say one the one obvious change start talk lot fat country another johnson loyalist say it didnt change all both go hospital keep say important cure wasnt worse virus,0
politics,jeanclaude juncker attack ursula von der leyen successor european commission president start mr juncker say not fan mrs von der leyens threat impose export ban eu manufacture jab uk warn would create major reputational damage bloc we use worlds free trade champion say eu leaders meet summit discuss potential ban we pull back vaccine war mr juncker also criticise eu slow approve buy vaccines brand bloc too cautious budget conscious interview bbcs hardtalk the veteran politician lead commission 2014 2019 include period brexit referendum we special relations britain theres room dialogue nobody britain nobody europe understand witness stupid vaccine war mr juncker say what eu ask cannot deal war atmosphere we war enemies ally the former prime minister luxembourg add i do not understand eu temptation fight britain british temptation fight eu let us discuss amongst adult people what image we are give the eu summit force online third wave coronavirus sweep europe hold new trade rule come force allow brussels target countries like britain higher vaccination rat eu the commission already threaten block export millions astrazeneca vaccines company halix plant leiden netherlands it want uk forego first refusal supply astrazenecas two british plant supply bloc divide eu leaders expect withhold explicit back ban amid fear could spark vaccines trade war but pressure britain expect build france germany italy support mrs von der leyens plan threaten ban target astrazeneca,2
politics,we know it dont we things go school would police matter adult world school always turn blind eye bully intimidation its time my experience highachieving boys private school birmingham 80s like lord fly meet the krypton factor they bright kid and didnt get away murder certainly get away assault in one incident four boys throw another classroom window slightly grind level lead horrible arm injury it could neck in normal society would mean court case but school world different rule apply measly detentions bag street cred culprits they probably still dine it the victim who care it amuse now darkly look back welltodo parent think give boys great life model send school top exam table some people look back schooldays best time life im relieve its over ahh 80s theyll say its change since then nurture safeguard all really so come campaign ask children report sexual assault harassment already collect nearly 5000 testimonies include account young nine these assault didnt happen 80s they happen month streets walk drive along every day like scandals whether mps expense hollywood sexual predatory celebrity childabuse real scandal take bloomin long burst out we know but stay silent thereby complicit how bully get away it wonder countless generations parent they do always have boys boys toxic masculinity get reward its never censure the bully prosper victim deal scar it ever thus never learn the teachers stay it let boys selfpolice announce chap oh smugly allmale blacktie dinner i attend years ago a couple us shake head incredulously let boys selfpolice yes want anarchy yes want class thugs rule roost yes want boys grow transpire assume get away sexually assault fellow children if scandal brew good perhaps finally national conversation importance teach positive masculinity sort display decent lawabiding boys men country day day out drown thuggish misogynistic minority just like teach maths english meanwhile need zerotolerance approach toxic masculinity most adults experience current teenschool culture limit streets bus train early morning late afternoon some kid wellmannered polite considerate too many yes girls too rude best vile worst adults but shrug off best interfere safer way a national conversation national taskforce could least start process change culture it present vision citizenship masculinity positive decent care challenge accept narrative men always lifes baddies or alternatively could take advice dinnerparty companion let boys selfpolice,1
politics,sometimes politics convenient leader retain underperform colleague senior position act lightning conductor criticism things dont go well one think instance boris johnsons decision keep gavin williamson education secretary last summer debacle exams fiasco cause least part pms dither late decisionmaking it work treat williamson compare frank spencer some mother do ave em fame zero headline bungle boris but whole team flounder steely gaze electorate inevitably alight upon captain happen keir starmer right now starmers innercircle brief shortly sack beleaguer hardly help matter shadow home secretary nick thomassymonds brutally take apart commons last week home secretary priti patel onesided exchange reform asylum system or labour deputy leader angela rayner fail generate sense wisdom authority spit witless boilerplate abuse tory foes like superannuate bad girl back school bus everyone see starmer make misstep misstep appear side duke duchess sussex queen flipflopping law order legislation look around fence sit matter need safeguard freedom speech inquiry batley islamists when hard leave mps socialist campaign group action put outside parliamentary labour party follow when reaction claudia webbe currently suspend plp bristol riot analysis police brutality the boot capitalist state crude would shame sixthform leftist move permanently expel her when clive lewis mp whip leftwing outcry starmer try rehabilitate union flag labour circle starmer relegate flag rather mr lewis the cumulative impact weakness starmers personal stand horrendous yougovs monthly tracker net rat tell story 16 november 5 december level peg january 6 february 13 march few things go south relentless pace since amundsen beat scott antarctica in context invite hapless ms dodds perform captain oates impersonation rather miss point it whole team fail over last couple months labour poll rat plummet levelpegging tories poll average around eight point behind the tories prefer electorate almost every policy area economy law order immigration europe and crucially battle covid too certainly lot change fortunes tie britains brilliant vaccine rollout eus disastrous one but single issue transform things extent also highlight starmers failure generate sustainable sense voters back labour party when everything seem go wrong government labour leader bake soufflé support promptly collapse labour giant set elections horizon mark start parliamentary midterm moment ought accompany deepen unpopularity govern party least feel main party opposition roll yet aside likely landslide victory sadiq khan london mayoral race expectations labour show dire that khan identikit identity politics merchant set labour poster boy spring hardly help party look rebuild support socially conservative red wall towns lose tories december 2019 should labour fail win parliamentary byelection hartlepool somewhere defend successfully even midst tory landslide idea starmer make impact debut year dominate government make highly visible mistake battle worst peacetime crisis live memory kaput even labour limp home reduce majority impression zero progress would convey many some labour thinkers regard pessimismtinged realists suppose starmer course 21st century version neil kinnock man make labour electable hand successor complete mission in make diagnosis suppose downplay expectations the truth currently look nowhere near good that,4
politics,its clear nicola sturgeon damage goods days number she mean hook the sort verdict might expect flagwaving unionist end tempestuous week scottish national party except word speak former deputy leader snp itself even alex salmonds the jubilation among first minister supporters survive two inquiries role alex salmond affair last three days mr salmond pull back tarpaulin ultimate vengeance weapon alba party threaten blow snps chance holyrood majority may 6 elections if snp currently minority government achieve overall majority party plan force second independence referendum rapidly accelerate there grow belief within snp however party fall short mark indyref2 happen might ms sturgeon helm the snps poll rat peak 58 per cent last autumn stay 50 per cent whole last year put party course majority accord recent opinium poll suggest controversy take toll the twin inquiries snps handle sexual misconduct allegations make former leader mr salmond expose public view toxic civil war sturgeonites salmondites like manhole cover lift sewer mr salmond intend go another round ms sturgeon fresh court case could reveal damage detail suppress inquiries then 2pm friday come mr salmond lead new party elections its aim claim achieve supermajority independence scottish parliament effect likely split vote snp alba the scottish gaelic name scotland mr salmond say friday alba plant saltire hill in next weeks shall see many rally standard in truth park tank ms sturgeons lawn drive wedge split already exist snp call members mps msps defect side if elect holyrood start allout war ms sturgeon mr salmond leadership future scotland jim sillars former deputy leader snp say i longterm critic alex salmond lead snp me i take back word i expect same but brexit pandemic failures snp embarrass stark lack quality rank holyrood mean new situation old grievances need set aside i welcome return frontline politics he add people see face scottish government unacceptable people stupid they know government misbehave engage gross misuse power this government politically corrupt tentacles political corruption spread institutions civic society one serve snp mp admit nicolas brand tarnish i think impact poll people see infighting rage for follow labyrinthine progress salmond affair basic facts these 2018 detail leak scottish newspaper sexual misconduct allegations mr salmond date 2013 first minister mr salmond deny claim accuse scottish government abuse process handle claim 2019 court case government pay 500000 legal expense weeks win court case mr salmond charge police sexually assault nine women first minister he clear 12 charge trial last year jury find 13th charge not prove mr salmond accuse members sturgeon administration encourage women make complaints him snp always deny he claim ms sturgeon know allegations longer admit lie scottish parliament find out resignation matter true an independent inquiry irish barrister jam hamilton though committee msps find at heart problem scottish politics mr sillars term cult personality begin mr salmond continue ms sturgeon take snp leader follow defeat independence campaign 2014s once generation referendum the snp leadership election since 2004 dominance salmond former protege one longstanding snp member complain any political party much bigger one figure people always turn feet clay a cult opposite democracy charge sheet undemocratic behaviour snp grow the party opponents cite role crown office equivalent englands crown prosecution service able two inquiries in democracies principle separation power mean prosecutors politicians operate independently englands director public prosecutions but scotland crown office head lord advocate also member cabinet mean person ultimately decide face prosecution politician loyal ms sturgeon currently jam wolffe as former brexit secretary that leave conflict compromise departments independence undermine when two inquiries report publish week large section redact order crown office mr hamilton complain redactions mean report present incomplete even time mislead version happen evidence give mr salmond redact protect identities complainants accord crown office mr davis others claim redactions identify women design protect ms sturgeon meanwhile somewhat toothless committee msps carry parliamentary inquiry complain key evidence request scottish government arrive widespread redactions document almost completely blank others page page fully redact text the committee complain we know basis redactions make mr salmond ominously ms sturgeon plan get evidence open on wednesday announce intention sue scottish governments permanent secretary leslie evans blame catastrophic failures matter he point court would all proper power recovery document parliamentary committee lack friends mr salmond confirm believe document implicate ms sturgeons office see conspiracy him he also make complaint police scotland leak story complaints 2018 could embarrass snp prove come someone close ms sturgeon this could go long time could yet bring nicola down admit senior snp source amid fevered anticipation inquiry report another potential timebomb ms sturgeon go largely unnoticed last weekend three members snps finance audit committee resign reportedly deny full access party book snp chief executive peter murrell also know husband nicola sturgeon one departees cynthia guthrie announce yesterday alba party candidate the snp report even confirm resignations let alone reason them party source tell the telegraph have hard time get bottom matter question management snps finance new party raise 600000 second referendum campaign claim ringfenced 97000 bank recent account members report ask donations referendum fight fund a spokesman snp say three people resign finance audit committee follow concern leak media deny mr murrell fail provide access account it say 600000 raise referendum be allocate 2021 budget spend financial year despite whiff scandal hang auld reekie past three years relatively public figure dare speak snp power electoral dominance engender north border jack perry cbe former chief executive scottish enterprise national innovation investment agency witness first hand the snp party machine good intimidation say its implicit oppose offend them wont get much business future i business events every single firm antiindependence snp minister turn single person challenge afraid to glasgowbased barrhead travel nationalists back no campaign independence referendum brand teacakes british rather scottish south border other businesses learn keep quiet fear fight socalled cybernats launch attack via social media earlier week emerge former manchester unite football manager sir alex ferguson normally regard shrink violet 2014 referendum the people put head parapet get shoot at accord alistair campbells latest diaries sir alex fear dog abuse stand union passionate believer scots rely far heavily government employment english public sector account 218 per cent job scotland compare 164 per cent england mean a lot private company reliant public sector contract mr perry say he add quangos head independentminded patrons ready challenge government improve policy often populate unquestioning snp supporters even education scotlands children grab come promote nationalist cause critics say in december education scotland finally withdraw timeline scottish history sir tom devine countrys lead historian among false claim sir winston churchill dispatch english troop tank stamp major protest strike workers glasgow 1919 lock scottish soldier barrack other errors include suggestion flower scotland write 1960s date far back battle bannockburn 1314 academics raise alarm almost two years timeline clearly design cause scottish independence accord one history professor eventually remove nor supposedly politically neutral civil service immune snps iron grip a taxpayerfunded scottish government video release new year describe brexit trade deal a bad deal scotland would cause greater risk national security prompt accusations civil service while snp ruthless target opponents reserve sinister threats within rank joanna cherry snp mp edinburgh south west last month follow row transgender law reform ms cherry qc believe snp go far simplify legal process change gender she later reveal subject an 18month campaign abuse culminate a threat corrective rape party member other snp members bombard abuse call friends say subject bully lie smear colleagues it become antifree speech party say one sturgeon critic within snp anyone dare depart party line suggest new ideas pretty much crush fraser nelson editor the spectator proud scot also face apparent attempt intimidate magazine go court fight right publish alex salmonds evidence full oppose inevitably crown office trisha marwick former preside officer speaker scottish parliament tweet we see fraser sinister overtones we know live douglas ross leader scottish conservatives say sturgeon clearly suffer hubris she woods neither person hold account litany scandals most people rightly repulse unedifying feud scorch earth approach undermine public faith scotlands parliament as senior member snp tell the telegraph if i didnt depend snp employment i would cut membership card now a recent survey find 8 per cent scots rank independence one top three important issue ahead may elections covid recovery job healthcare press concern for ms sturgeon independence useful megaphone drown discussion failures numerous under watch educational attainment down drugrelated deaths double to three half time rate england far worst europe life expectancy decrease areas even covid scotland run rest uk the snp also answer key question around independent scotland would look like whether would arm force would pay way without current subsidies westminster one snp mp blame intellectual laziness within party failure come plan despite fail 14 years power snp seem certain largest party yet may 6 either majority for four seat 129 need minority government back proindependence green it leave snp defy political gravity retain power least 18 years time 2025 election record match conservatives thatcher major era what then ironically issue independence likely present threat ms sturgeon within party she face significant pressure radical wing party call indicative referendum straight away which would legally bind without consent westminster capitalise boris johnsons unpopularity scotland ms sturgeon however nature cautious prefer build support independence poll suggest virtually guarantee win moment not be ms sturgeon succumb activists wish quick referendum fail win it would lose leadership possibly hop break union decades come whether even get make choice could yet hand mr salmond,0
politics,when police tell owen paterson wife rise find shropshire home last desperate hope murder in ways would easier process suicide admit former cabinet minister that terrible suicide leave behind it hard comprehend someone could desperate feel way out here be seven months on its absolutely horrify think rise also suffer badly without us know i miss much often find point call her still us the fact well never speak nothing short devastate the pain etch veteran politicians face describe longer listen mozart play 1980 wed cockney rebel steve harley song provide soundtrack days together university cambridge seventies but see 21monthold granddaughter sylvie bring home affect 16 families britain every single day rise never see first daub paint never go first school play its desperately sad owen mp north shropshire 23 years decide speak candidly roses death first time national newspaper hope help others if i help stop one family experience utter agony go through i do something worthwhile insist former environment northern ireland secretary with sons felix 34 ned 32 daughter evie 28 owen poise launch the rise paterson trust charity dedicate raise money suicide bereavement project promote mental physical health the trust recently award charitable status officially unveil day grand national april 10 honour rise chairman aintree racecourse the grand national always big day family year hope enable real good roses memory rise kind care person nature say owen we know would want us help others she much charity herself we want make proud owen idea beloved wife 40 years feel suicidal days find dead early hours june 24 64th birthday when answer telephone call house commons morning go miss think anything it as well work aintree steward jockey club rise would often about busy respond message but call home near ellesmere continue go unanswered 6pm even owen begin worry i wasnt entirely surprise hadnt get back would often garden aintree but shed nearly always back even punctilious keep top email after another couple hours go word rise ned last person see previous even watch tv documentary persian history raise alarm by 815pm owen call police thats whole nightmare begin recall as neighbour join effort find rise jump car felix live south london immediately drive shropshire throughout 200mile journey north constant communication ned we go everything over heart attack stroke respiratory collapse have slip bang head rock have branch fall head we crazy ideas we never ever think suicide arrive home helicopter circle overhead lead police officer case walk straight owen ask question never forget look back know exactly look for owen concede he say mr paterson wife suffer depression irritate owen dismiss idea stress urgency find wife alive i say please im really worry its really hot june day she will dehydrate by half past midnight we could see torch work wood methodically we hear shout shout stop at around 4am police call us kitchen say theyd find female body appearance conform rise paterson at point owen demand roses body take chance see final time i hop would anything suicide but i go there quite obvious shed kill herself he break horrendous news couple daughter evie 28 holiday france await roses arrival follow day west mercia police later inform family rise search suicide websites fortnight before seven morning people say oh mustnt beat up course i beat every single day say owen the time birthday add familys sense bewilderment rise plan travel london day see aunt come lockdown organise birthday dinner owen travel france she also chair virtual meet aintree all paper still desk say owen i cant bear move them what utterly tragic roses career really blossom shed do wonderful work aintree animal welfare make inclusive women families she terrific stuff park palace ponies innercity rid school toxteth although inquest roses death medication several years the coroner answer who what when where question never why say owen we never definitively know why the couple pressure since last general election follow number press report owens external consultancy work there also criticism race industry allow owen believe catch covid19 begin first lockdown may impact roses mental health rise didnt like ill family home rally round seem get better far sooner i do but ongoing research virus show that bigger physical effect men women disproportionately affect neurologically some seem mini stroke others behavioural change he also blame suicide websites secretly visit draw in many suicides impulse the narrative sit use beguile write calm language yet sit never talk damage leave behind cite evidence suggest every suicide affect 135 people add i feel quite strongly know utter catastrophe bring many people immediate family wouldnt do it every suicide unnecessary every suicide avoidable the utter tragedy rise wonderful woman everyone love much lose life live change forever owens first christmas four decades without rise pass blur spend two freeze cold hours grave side family home i want next her say i play schubert mahler stuff love the daughter 4th viscount ridley bring blagdon estate northumberland rise fierce intellect unparalleled knowledge horse i miss brain say owen i second brain she incredibly well read keep date stuff i already feel race knowledge slip away here admit previous experience suicide try educate help others if one person read this one person think twice take life worth it society image someone caricature depress whose life go badly wrong rise anxious i would not say depress so anyone read know someone anxious please talk them you may well save life,1
politics,one respect universities release guide play russian roulette entertain others money december among state aim say university policy ensure students play russian roulette positively support personal wellbeing safety consider priority ensure university staff aware responsibilities support students nonjudgemental approach its policy statement read the university firmly commit sustain inclusive learn work research environment students include students earn money commodities russian roulette we recognise social stigma associate russian roulette support students earn live russian roulette students may increasingly turn russian roulette fund study out individuals status without consent put students risk harm actually doesnt say that its support students struggle badly financially anything literally crazy idea play russian roulette entertainment others would support themselves no university multiple unis country talk sex work russian roulette support students turn prostitution cannot make end meet publish aim offer advice support vendor which would well good whole idea were not desperately sad depress by set challenge assertion its fundamentally bad idea go sex work get degree organisations really arent help all let clear women and obviously men offer nostrings financial support help sustain degrees instead show picture normalise prostitution many might think academic institution home women men include trans community vulnerable frighten lose place university perhaps even home due lack money prostitution become option step stop it that place actual role model show education exit route poverty sell yourself sure theres school think claim sex work empower even fun way earn extra dosh although so wed see far fewer vulnerable people business place jostle away glamorous robust yuppies eager make extra money next winter trip barbados as if anyway appearances crux matter safety be anyone involve prostitution sex work deserve without fear physical mental abuse but evidence online toolkit achieve this it may give illusion ways sell sex without fear stigma theres proof anyone anything this research show one greatest factor prevent come lack ideas lack data official interest violence women and men trans sex trade constantly overlook discussions take place violence whole the fund isnt there the taxpayers cry it far energy seem spend redefine employment choice admit sex work come unimaginably high risk what document violence connect sex work cause poor health overall physical sexual injury anxiety posttraumatic stress disorder unwanted pregnancy abortion increase risk hiv sexually transmit infections stis how earth policy statement go protect student that it really does not matter whether think prostitution good bad thing societal entity but surely agree one dangerous ways imaginable make shortfall student grant universities offer tip stay safe mirror room see client time pitiful stuff post copy toolkits mission statement wall isnt go much cop violent predatory man history sexual abuse prison record policies write best intentions cannot possibly one thing putative prostitute would need remain 100 per cent safe and create algorithm identify sexbuyer safe one not until then online toolkits world wont make sell body safe but may make safer its gap problem lie be universities really interest safety students would reduce fee offer financial advice save pay work campus young people need most they would offer cash grant gimmicky tip if personal wellbeing safety consider a priority university would sanction guide prostitution would run motorways play russian roulette because inherently unsafe the naivety think prostitution doesnt go always us it encourage new generation young people think different risk form remuneration,4
